248,,4,52,41.092,,12,23,4.96,,,-0.0001,,-0.008,,2000,,4.8780811111,12.3847111111
159,,4,58,36.275,,-14,47,2.71,,,0.001,,0.009,,2000,,4.9767430556,-13.2159138889
125,,4,59,57.869,,-25,3,16.17,,,0.0004,,0.031,,2000,,4.9994080556,-24.9455083333
402,,5,2,5.604,,69,9,36.89,,,0.0157,,-0.089,,2000,,5.03489,69.1602472222
4,,5,6,35.692,,-77,34,2.88,,,0.0442,,-0.417,,2000,,5.1099144444,-76.4325333333
195,,5,8,37.669,,-3,18,21.35,,,-0.0008,,-0.033,,2000,,5.1437969444,-2.6940694444
299,,5,10,3.872,,27,33,23.43,,,0.0149,,-0.087,,2000,,5.1677422222,27.5565083333
93,,5,10,58.929,,-34,54,13.58,,,0.0002,,0.01,,2000,,5.1830358333,-33.0962277778
65,,5,16,10.061,,-41,14,57.16,,,0.0009,,0.009,,2000,,5.2694613889,-40.7507888889
344,,5,17,12.412,,39,27,49.17,,,0.0002,,-0.005,,2000,,5.2867811111,39.4636583333
388,,5,17,27.565,,60,10,54.01,,,-0.0006,,-0.136,,2000,,5.2909902778,60.1816694444
231,,5,17,32.227,,5,28,56.34,,,0.0012,,-0.007,,2000,,5.2922852778,5.4823166667
41,,5,25,11.017,,-54,19,4.35,,,0.0001,,0.039,,2000,,5.4197269444,-53.682125
142,,5,31,55.588,,-16,40,35.2,,,-0.0015,,-0.233,,2000,,5.5321077778,-15.3235555556
267,,5,33,59.991,,15,35,4.38,,,-0.0035,,-0.028,,2000,,5.5666641667,15.58455
178,,5,38,39.719,,-8,28,15.67,,,-0.0001,,0.001,,2000,,5.6443663889,-7.5289805556
379,,5,43,38.171,,55,19,44.06,,,0.0039,,-0.032,,2000,,5.7272697222,55.3289055556
316,,5,44,30.99,,30,29,17.75,,,0.0071,,0.006,,2000,,5.7419416667,30.4882638889
110,,5,47,21.912,,-27,8,4.15,,,0.0026,,-0.018,,2000,,5.78942,-26.8655138889
357,,5,48,14.529,,46,43,18.28,,,0.0002,,-0.019,,2000,,5.8040358333,46.7217444444
284,,5,54,54.008,,22,31,11.81,,,0.0008,,0.009,,2000,,5.9150022222,22.5199472222
214,,6,0,49.321,,2,54,57.62,,,-0.0008,,0.001,,2000,,6.0137002778,2.9160055556
80,,6,7,18.838,,-37,12,0.54,,,-0.0028,,-0.006,,2000,,6.1218994444,-36.79985
161,,6,9,15.194,,-13,13,14.86,,,-0.0003,,-0.003,,2000,,6.1542205556,-12.7792055556
9,,6,11,57.93,,-75,5,2,,,-0.0026,,0.021,,2000,,6.199425,-74.9161111111
250,,6,17,6.48,,11,58,42,,,-0.0003,,-0.007,,2000,,6.2851333333,11.9783333333
23,,6,17,49.794,,-64,1,48.79,,,0.0004,,0.014,,2000,,6.297165,-63.9697805556
