Perfect stars, latitude +34.0 deg
:NODA
:ALLSKY
+34 00 00.0
00  33  18.125864  +44  06  01.68672  0  14  44.882  +43  32  3.25  0  0
23  37  24.132717  +44  56  20.28055  23  12  6.306  +44  21  11.2  0  0
22  40  40.976937  +45  47  23.12076  22  15  34.049  +45  10  55.9  0  0
21  43  05.660301  +46  39  12.90573  21  18  9.986  +46  1  26.13  0  0
20  44  34.900781  +47  31  52.58930  20  19  50.771  +46  52  44.53  0  0
19  45  05.093058  +48  25  25.41625  19  20  32.684  +47  44  53.86  0  0
07  14  56.819716  +48  52  32.86226  6  54  1.532  +48  11  23.59  0  0
18  44  32.261715  +49  19  54.96446  18  20  11.533  +48  37  56.91  0  0
06  13  50.855146  +49  47  32.23037  5  53  15.126  +49  4  57.15  0  0
17  42  52.005391  +50  15  25.19515  17  18  42.491  +49  31  56.16  0  0
05  11  35.084726  +50  43  34.42375  4  51  19.65  +49  59  29.75  0  0
16  39  59.429663  +51  12  00.51330  16  15  59.73  +50  26  52.99  0  0
04  08  04.338033  +51  40  44.09577  3  48  9.975  +50  55  3.68  0  0
03  03  12.823164  +52  39  06.45915  2  43  40.359  +51  51  38.42  0  0
01  56  54.016585  +53  38  47.38507  1  37  44.339  +52  49  1.19  0  0
00  49  00.526658  +54  39  53.52601  0  30  14.671  +53  45  21.09  0  0
23  39  23.922702  +55  42  32.46957  23  15  45.024  +54  54  33.81  0  0
22  27  54.518374  +56  46  52.93346  22  4  13.529  +55  57  3.29  0  0
21  14  21.093498  +57  53  05.01585  20  50  45.34  +57  1  31.97  0  0
08  36  43.860669  +58  26  56.52540  8  15  57.151  +57  34  52.9  0  0
19  58  30.531613  +59  01  20.52155  19  35  4.573  +58  8  7.38  0  0
07  19  39.091866  +59  36  18.81732  6  59  9.456  +58  42  24.32  0  0
18  40  07.339792  +60  11  53.39419  18  16  54.503  +59  17  1.35  0  0
05  59  52.861381  +60  48  06.42476  5  39  44.19  +59  52  26.88  0  0
17  18  53.000514  +61  25  00.29954  16  55  56.034  +60  28  29.33  0  0
04  37  04.823689  +62  02  37.65868  4  17  19.976  +61  5  15.08  0  0
15  54  25.077856  +62  41  01.42993  15  31  46.476  +61  42  50.69  0  0
03  10  50.139686  +63  20  14.87428  2  51  31.602  +62  21  9.39  0  0
