!
!  TPOINT star catalogue:  Tycho-2, 10 deg pitch, 7.0-7.5 Mv
!
!  P T Wallace   29 July 2000
!
000109  17 07 56.204  -24 59 53.29   +.0000  -.002  2000.0
000110  05 47 21.912  -27 08 04.15   +.0026  -.018  2000.0
000111  18 37 12.839  -25 40 16.60   +.0126  -.283  2000.0
000112  07 19 09.909  -25 33 57.19   -.0002  +.005  2000.0
000113  20 05 12.010  -26 48 47.76   +.0008  -.009  2000.0
000114  08 49 42.384  -28 15 21.27   -.0018  +.006  2000.0
000115  21 31 51.343  -25 24 45.76   +.0010  -.009  2000.0
000116  10 23 29.997  -26 03 22.56   -.0044  +.034  2000.0
000117  23 03 38.141  -26 48 47.88   +.0019  +.007  2000.0
000118  11 47 19.918  -25 57 41.29   -.0035  +.008  2000.0
000119  00 32 22.176  -24 38 46.46   +.0095  +.013  2000.0
000120  13 22 27.476  -25 50 27.15   -.0093  +.006  2000.0
000121  02 00 42.362  -24 25 18.55   +.0016  -.092  2000.0
000122  14 48 29.035  -25 29 13.29   -.0094  +.167  2000.0
000123  03 32 26.385  -24 36 59.10   +.0009  +.013  2000.0
000124  16 21 19.191  -23 42 28.74   -.0008  -.024  2000.0
000125  04 59 57.869  -25 03 16.17   +.0004  +.031  2000.0
000126  17 44 17.792  -23 40 44.36   +.0025  -.013  2000.0
000127  06 30 38.522  -22 19 18.52   -.0003  +.002  2000.0
000128  19 16 11.352  -25 40 00.35   -.0001  -.032  2000.0
000129  07 53 40.071  -23 11 14.00   -.0014  +.007  2000.0
000130  20 43 26.438  -22 27 14.11   -.0008  -.016  2000.0
000131  09 27 53.036  -22 31 42.76   -.0022  +.022  2000.0
000132  22 16 07.234  -23 00 33.76   +.0015  +.016  2000.0
000133  11 02 26.724  -21 24 40.24   -.0030  +.003  2000.0
000134  23 49 25.962  -21 36 50.30   -.0005  +.009  2000.0
000135  12 31 53.142  -20 58 53.95   -.0028  +.048  2000.0
000136  01 11 01.713  -18 48 17.67   +.0054  -.011  2000.0
000137  13 55 01.736  -19 13 02.17   -.0005  -.008  2000.0
000138  02 39 39.389  -20 25 41.03   -.0083  -.186  2000.0
000139  15 19 50.086  -19 33 00.90   -.0071  +.007  2000.0
000140  04 09 58.777  -19 00 10.27   -.0011  -.022  2000.0
000141  16 50 55.478  -16 32 48.93   -.0004  -.013  2000.0
000142  05 31 55.588  -16 40 35.20   -.0015  -.233  2000.0
000143  18 18 24.123  -17 32 03.71   +.0001  -.005  2000.0
000144  06 52 45.991  -16 12 44.06   -.0005  +.002  2000.0
000145  19 34 18.994  -16 22 27.04   +.0002  +.001  2000.0
000146  08 16 52.086  -15 09 07.06   -.0009  +.008  2000.0
000147  20 55 47.676  -17 06 51.07   +.0043  -.065  2000.0
